"LSOA11CD","LSOA21CD","LinkCode","Households","LSOA11Denom","LSOA21Denom","Prop11of21","Prop21of11","Category"
"E01000190","E01000190","E01000190_E01000190",561,561,561,1,1,"U"
"E01000191","E01000191","E01000191_E01000191",558,558,558,1,1,"U"
"E01000192","E01000192","E01000192_E01000192",716,716,716,1,1,"U"
"E01000193","E01000193","E01000193_E01000193",704,704,704,1,1,"U"
"E01000194","E01000194","E01000194_E01000194",711,711,711,1,1,"U"
"E01000195","E01000195","E01000195_E01000195",716,716,716,1,1,"U"
"E01000196","E01000196","E01000196_E01000196",1088,1088,1088,1,1,"U"
"E01000197","E01000197","E01000197_E01000197",731,731,731,1,1,"U"
"E01000198","E01000198","E01000198_E01000198",783,783,783,1,1,"U"
"E01000199","E01000199","E01000199_E01000199",657,657,657,1,1,"U"
"E01000200","E01000200","E01000200_E01000200",879,879,879,1,1,"U"
"E01000201","E01000201","E01000201_E01000201",526,526,526,1,1,"U"
"E01000202","E01000202","E01000202_E01000202",614,614,614,1,1,"U"
"E01000203","E01000203","E01000203_E01000203",682,682,682,1,1,"U"
"E01000204","E01000204","E01000204_E01000204",690,690,690,1,1,"U"
"E01000205","E01000205","E01000205_E01000205",599,599,599,1,1,"U"
"E01000206","E01000206","E01000206_E01000206",524,524,524,1,1,"U"
"E01000207","E01000207","E01000207_E01000207",643,643,643,1,1,"U"
"E01000208","E01000208","E01000208_E01000208",604,604,604,1,1,"U"
"E01000209","E01000209","E01000209_E01000209",738,738,738,1,1,"U"
"E01000210","E01000210","E01000210_E01000210",581,581,581,1,1,"U"
"E01000211","E01000211","E01000211_E01000211",906,906,906,1,1,"U"
"E01000212","E01000212","E01000212_E01000212",544,544,544,1,1,"U"
"E01000213","E01000213","E01000213_E01000213",452,452,452,1,1,"U"
"E01000214","E01000214","E01000214_E01000214",774,774,774,1,1,"U"
"E01000215","E01000215","E01000215_E01000215",703,703,703,1,1,"U"
"E01000216","E01000216","E01000216_E01000216",718,718,718,1,1,"U"
"E01000217","E01000217","E01000217_E01000217",558,558,558,1,1,"U"
"E01000218","E01000218","E01000218_E01000218",575,575,575,1,1,"U"
"E01000219","E01000219","E01000219_E01000219",657,657,657,1,1,"U"
"E01000220","E01000220","E01000220_E01000220",684,684,684,1,1,"U"
"E01000221","E01000221","E01000221_E01000221",526,526,526,1,1,"U"
"E01000222","E01000222","E01000222_E01000222",734,734,734,1,1,"U"
"E01000223","E01000223","E01000223_E01000223",743,743,743,1,1,"U"
"E01000224","E01000224","E01000224_E01000224",559,559,559,1,1,"U"
"E01000225","E01000225","E01000225_E01000225",591,591,591,1,1,"U"
"E01000226","E01000226","E01000226_E01000226",602,602,602,1,1,"U"
"E01000227","E01000227","E01000227_E01000227",604,604,604,1,1,"U"
"E01000228","E01000228","E01000228_E01000228",456,456,456,1,1,"U"
"E01000229","E01000229","E01000229_E01000229",583,583,583,1,1,"U"
"E01000230","E01000230","E01000230_E01000230",672,672,672,1,1,"U"
"E01000231","E01000231","E01000231_E01000231",616,616,616,1,1,"U"
"E01000232","E01000232","E01000232_E01000232",708,708,708,1,1,"U"
"E01000233","E01000233","E01000233_E01000233",660,660,660,1,1,"U"
"E01000234","E01000234","E01000234_E01000234",678,678,678,1,1,"U"
"E01000235","E01000235","E01000235_E01000235",649,649,649,1,1,"U"
"E01000236","E01000236","E01000236_E01000236",698,698,698,1,1,"U"
"E01000237","E01000237","E01000237_E01000237",725,725,725,1,1,"U"
"E01000238","E01000238","E01000238_E01000238",645,645,645,1,1,"U"
"E01000239","E01000239","E01000239_E01000239",934,934,934,1,1,"U"
"E01000240","E01000240","E01000240_E01000240",619,619,619,1,1,"U"
"E01000241","E01000241","E01000241_E01000241",712,712,712,1,1,"U"
"E01000242","E01000242","E01000242_E01000242",591,591,591,1,1,"U"
"E01000243","E01000243","E01000243_E01000243",873,873,873,1,1,"U"
"E01000244","E01000244","E01000244_E01000244",638,638,638,1,1,"U"
"E01000245","E01000245","E01000245_E01000245",887,887,887,1,1,"U"
"E01000246","E01000246","E01000246_E01000246",640,640,640,1,1,"U"
"E01000247","E01000247","E01000247_E01000247",736,736,736,1,1,"U"
"E01000248","E01000248","E01000248_E01000248",727,727,727,1,1,"U"
"E01000249","E01000249","E01000249_E01000249",581,581,581,1,1,"U"
"E01000250","E01000250","E01000250_E01000250",1135,1135,1135,1,1,"U"
"E01000251","E01000251","E01000251_E01000251",1045,1045,1045,1,1,"U"
"E01000252","E01000252","E01000252_E01000252",792,792,792,1,1,"U"
"E01000253","E01000253","E01000253_E01000253",741,741,741,1,1,"U"
"E01000254","E01000254","E01000254_E01000254",644,644,644,1,1,"U"
"E01000255","E01000255","E01000255_E01000255",629,629,629,1,1,"U"
"E01000256","E01000256","E01000256_E01000256",674,674,674,1,1,"U"
"E01000257","E01000257","E01000257_E01000257",913,913,913,1,1,"U"
"E01000258","E01000258","E01000258_E01000258",779,779,779,1,1,"U"
"E01000259","E01000259","E01000259_E01000259",988,988,988,1,1,"U"
"E01000260","E01000260","E01000260_E01000260",840,840,840,1,1,"U"
"E01000261","E01000261","E01000261_E01000261",677,677,677,1,1,"U"
"E01000262","E01033911","E01000262_E01033911",684,1289,684,1,0.530643910007758,"S"
"E01000262","E01033912","E01000262_E01033912",605,1289,605,1,0.469356089992242,"S"
"E01000263","E01000263","E01000263_E01000263",496,496,496,1,1,"U"
"E01000264","E01000264","E01000264_E01000264",714,714,714,1,1,"U"
"E01000265","E01000265","E01000265_E01000265",765,765,765,1,1,"U"
"E01000266","E01000266","E01000266_E01000266",513,513,513,1,1,"U"
"E01000267","E01000267","E01000267_E01000267",571,571,571,1,1,"U"
"E01000268","E01000268","E01000268_E01000268",937,937,937,1,1,"U"
"E01000269","E01000269","E01000269_E01000269",546,546,546,1,1,"U"
"E01000270","E01000270","E01000270_E01000270",634,634,634,1,1,"U"
"E01000271","E01000271","E01000271_E01000271",586,586,586,1,1,"U"
"E01000272","E01000272","E01000272_E01000272",529,529,529,1,1,"U"
"E01000273","E01000273","E01000273_E01000273",747,747,747,1,1,"U"
"E01000274","E01000274","E01000274_E01000274",685,685,685,1,1,"U"
"E01000275","E01000275","E01000275_E01000275",664,664,664,1,1,"U"
"E01000276","E01000276","E01000276_E01000276",497,497,497,1,1,"U"
"E01000277","E01000277","E01000277_E01000277",747,747,747,1,1,"U"
"E01000278","E01000278","E01000278_E01000278",506,506,506,1,1,"U"
"E01000279","E01000279","E01000279_E01000279",507,507,507,1,1,"U"
"E01000280","E01000280","E01000280_E01000280",504,504,504,1,1,"U"
"E01000281","E01000281","E01000281_E01000281",797,797,797,1,1,"U"
"E01000282","E01000282","E01000282_E01000282",696,696,696,1,1,"U"
"E01000283","E01000283","E01000283_E01000283",476,476,476,1,1,"U"
"E01000284","E01000284","E01000284_E01000284",786,786,786,1,1,"U"
"E01000285","E01000285","E01000285_E01000285",637,637,637,1,1,"U"
"E01000286","E01000286","E01000286_E01000286",668,668,668,1,1,"U"
"E01000287","E01000287","E01000287_E01000287",610,610,610,1,1,"U"
"E01000288","E01000288","E01000288_E01000288",571,571,571,1,1,"U"
"E01000289","E01000289","E01000289_E01000289",552,552,552,1,1,"U"
"E01000290","E01000290","E01000290_E01000290",675,675,675,1,1,"U"
"E01000291","E01000291","E01000291_E01000291",617,617,617,1,1,"U"
"E01000292","E01000292","E01000292_E01000292",642,642,642,1,1,"U"
"E01000293","E01000293","E01000293_E01000293",707,707,707,1,1,"U"
"E01000294","E01000294","E01000294_E01000294",715,715,715,1,1,"U"
"E01000295","E01000295","E01000295_E01000295",647,647,647,1,1,"U"
"E01000296","E01000296","E01000296_E01000296",786,786,786,1,1,"U"
"E01000297","E01000297","E01000297_E01000297",545,545,545,1,1,"U"
"E01000298","E01000298","E01000298_E01000298",708,708,708,1,1,"U"
"E01000299","E01000299","E01000299_E01000299",901,901,901,1,1,"U"
"E01000300","E01000300","E01000300_E01000300",685,685,685,1,1,"U"
"E01000301","E01000301","E01000301_E01000301",519,519,519,1,1,"U"
"E01000302","E01000302","E01000302_E01000302",828,828,828,1,1,"U"
"E01000303","E01000303","E01000303_E01000303",536,536,536,1,1,"U"
"E01000304","E01000304","E01000304_E01000304",603,603,603,1,1,"U"
"E01000305","E01000305","E01000305_E01000305",658,658,658,1,1,"U"
"E01000306","E01000306","E01000306_E01000306",619,619,619,1,1,"U"
"E01000307","E01000307","E01000307_E01000307",552,552,552,1,1,"U"
"E01000308","E01000308","E01000308_E01000308",958,958,958,1,1,"U"
"E01000309","E01000309","E01000309_E01000309",708,708,708,1,1,"U"
"E01000310","E01000310","E01000310_E01000310",874,874,874,1,1,"U"
