"LSOA11CD","LSOA21CD","LinkCode","TotPersons","LSOA11Denom","LSOA21Denom","Prop11of21","Prop21of11","Category"
"E01000196","E01000196","E01000196_E01000196",2134,2134,2134,1,1,"U"
"E01000197","E01000197","E01000197_E01000197",1847,1847,1847,1,1,"U"
"E01000198","E01000198","E01000198_E01000198",2199,2199,2199,1,1,"U"
"E01000199","E01000199","E01000199_E01000199",1580,1580,1580,1,1,"U"
"E01000200","E01000200","E01000200_E01000200",1975,1975,1975,1,1,"U"
"E01000201","E01000201","E01000201_E01000201",1544,1544,1544,1,1,"U"
"E01000202","E01000202","E01000202_E01000202",1680,1680,1680,1,1,"U"
"E01000203","E01000203","E01000203_E01000203",1851,1851,1851,1,1,"U"
"E01000204","E01000204","E01000204_E01000204",1698,1698,1698,1,1,"U"
"E01000205","E01000205","E01000205_E01000205",1507,1507,1507,1,1,"U"
"E01000206","E01000206","E01000206_E01000206",1496,1496,1496,1,1,"U"
"E01000207","E01000207","E01000207_E01000207",1574,1574,1574,1,1,"U"
"E01000208","E01000208","E01000208_E01000208",1514,1514,1514,1,1,"U"
"E01000209","E01000209","E01000209_E01000209",1480,1480,1480,1,1,"U"
"E01000210","E01000210","E01000210_E01000210",1551,1551,1551,1,1,"U"
"E01000211","E01000211","E01000211_E01000211",2101,2101,2101,1,1,"U"
"E01000212","E01000212","E01000212_E01000212",1348,1348,1348,1,1,"U"
"E01000213","E01000213","E01000213_E01000213",1346,1346,1346,1,1,"U"
"E01000214","E01000214","E01000214_E01000214",1633,1633,1633,1,1,"U"
"E01000215","E01000215","E01000215_E01000215",2148,2148,2148,1,1,"U"
"E01000216","E01000216","E01000216_E01000216",1982,1982,1982,1,1,"U"
"E01000217","E01000217","E01000217_E01000217",1781,1781,1781,1,1,"U"
"E01000218","E01000218","E01000218_E01000218",1828,1828,1828,1,1,"U"
"E01000219","E01000219","E01000219_E01000219",2192,2192,2192,1,1,"U"
"E01000220","E01000220","E01000220_E01000220",1887,1887,1887,1,1,"U"
"E01000221","E01000221","E01000221_E01000221",1414,1414,1414,1,1,"U"
"E01000222","E01000222","E01000222_E01000222",2053,2053,2053,1,1,"U"
"E01000223","E01000223","E01000223_E01000223",2028,2028,2028,1,1,"U"
"E01000224","E01000224","E01000224_E01000224",1693,1693,1693,1,1,"U"
"E01000225","E01000225","E01000225_E01000225",1896,1896,1896,1,1,"U"
"E01000226","E01000226","E01000226_E01000226",1736,1736,1736,1,1,"U"
"E01000227","E01000227","E01000227_E01000227",1867,1867,1867,1,1,"U"
"E01000228","E01000228","E01000228_E01000228",1433,1433,1433,1,1,"U"
"E01000229","E01000229","E01000229_E01000229",1659,1659,1659,1,1,"U"
"E01000230","E01000230","E01000230_E01000230",1960,1960,1960,1,1,"U"
"E01000231","E01000231","E01000231_E01000231",1782,1782,1782,1,1,"U"
"E01000232","E01000232","E01000232_E01000232",1864,1864,1864,1,1,"U"
"E01000233","E01000233","E01000233_E01000233",1929,1929,1929,1,1,"U"
"E01000234","E01000234","E01000234_E01000234",1785,1785,1785,1,1,"U"
"E01000235","E01000235","E01000235_E01000235",1868,1868,1868,1,1,"U"
"E01000236","E01000236","E01000236_E01000236",1959,1959,1959,1,1,"U"
"E01000237","E01000237","E01000237_E01000237",2102,2102,2102,1,1,"U"
"E01000238","E01000238","E01000238_E01000238",2092,2092,2092,1,1,"U"
"E01000239","E01000239","E01000239_E01000239",2058,2058,2058,1,1,"U"
"E01000240","E01000240","E01000240_E01000240",1727,1727,1727,1,1,"U"
"E01000241","E01000241","E01000241_E01000241",1793,1793,1793,1,1,"U"
"E01000242","E01000242","E01000242_E01000242",1593,1593,1593,1,1,"U"
"E01000243","E01000243","E01000243_E01000243",2104,2104,2104,1,1,"U"
"E01000244","E01000244","E01000244_E01000244",1666,1666,1666,1,1,"U"
"E01000245","E01000245","E01000245_E01000245",2061,2061,2061,1,1,"U"
"E01000246","E01000246","E01000246_E01000246",1509,1509,1509,1,1,"U"
"E01000247","E01000247","E01000247_E01000247",1709,1709,1709,1,1,"U"
"E01000248","E01000248","E01000248_E01000248",1714,1714,1714,1,1,"U"
"E01000249","E01000249","E01000249_E01000249",1522,1522,1522,1,1,"U"
"E01000250","E01000250","E01000250_E01000250",2590,2590,2590,1,1,"U"
"E01000251","E01000251","E01000251_E01000251",2243,2243,2243,1,1,"U"
"E01000252","E01000252","E01000252_E01000252",1726,1726,1726,1,1,"U"
